072420.75   +420900.6  2MASX J07242070+4209004       2193308  108110  0.057               SB        (r,bl)        Sab    2  1.00  SB(r,bl)ab:
131030.50   +090121.8  2MASX J13103046+0901215       3803510   90991  0.050  (RP)         SA        (l)           Sab    2  0.00  (RP)SA(l)ab
131033.20   +160749.2  2MASX J13103322+1607491       1501438  184575  0.065  (R1P)        SB        (p,rs,bl)     Sb     3  1.00  (R1P)SB(p,rs,bl)b
131039.44   +345051.9  2MASX J13103940+3450516       2055503  128337  0.036  (R)          SA_B      (l)           S0+   -1  0.75  (R)SA_B(l)0^+^
131055.29   +564159.0  2MASX J13105524+5641586       3481109   84880  0.078  (RL)         S_AB      (r)           Sab    2  0.25  (RL)S_AB(r)ab
131059.14   +074040.4  2MASX J13105909+0740407       1327976  223529  0.093  (RP)         SAB       (_rs)         Sab    2  0.50  (RP)SAB(_rs)ab:
131107.68   +482803.6  2MASX J13110775+4828038       2318147   82432  0.083  (RPL)        SAB       (rs)          Sab    2  0.50  (RPL)SAB(rs)ab:
131110.30   +002621.8  SDSS J131110.29+002621.7          ---    1450  0.082  (RP)         SA_B      (r)           Sab    2  0.75  (RP)SA_B(r)ab
131114.87   +432617.5  2MASX J13111482+4326174       2220747  213753  0.052  (RP)         S_AB      (_rs)         Sab    2  0.25  (RP)S_AB(_rs)ab
131120.78   +574902.1  2MASX J13112069+5749017       3481135   87242  0.047  (R)          SAB       (rs)          S0/a   0  0.50  (R)SAB(rs)0/a
131125.72   +150108.6  2MASXi J1311256+150108            ---  112454  0.087               SA        (rs)          Sb     3  0.00  SA(rs)b: pec
131137.09   +050953.7  2MASX J13113709+0509536       1279087   31305  0.063  (R)          SA_B_a    (l)           S0/a   0  0.75  (R)SA_B_a(l)0/a
131138.44   +401243.0  2MASX J13113846+4012425       2162396  229364  0.106  (R1P)        SAB       (rl)          Sb     3  0.50  (R1P)SAB(rl)b
131148.74   +103607.9  CGCG 072-018                    45810   92249  0.032  (RP)         SA        (r)           Sa     1  0.00  (RP)SA(r)a
131151.71   +484728.3  2MASX J13115167+4847280       2325734   54473  0.126  (R2P)        SA        (ir_l)        Sb     3  0.00  (R2P)SA(ir_l)b
131153.80   +053138.4  2MASX J13115380+0531385       1284861   31716  0.087  (R2P)        SAB_a     (s)           Sb     3  0.50  (R2P)SAB_a(s)b
131206.40   -004950.8  2MASX J13120639-0049501       1133616     284  0.084  (R1R2P)      S_AB      (l)           S0/a   0  0.25  (R1R2P)S_AB(l)0/a:
131213.79   +583215.0  MCG +10-19-051                  45866   34167  0.060  (R1R2P)      SA_B      (l)           Sa     1  0.75  (R1R2P)SA_B(l)a
131225.86   +283215.7  CGCG 160-161                    45863  137373  0.021  (R1)         SB        (r,bl)        S0/a   0  1.00  (R1)SB(r,bl)0/a
131229.53   +342017.6  2MASX J13122948+3420176       2047626  127605  0.037  (R)          SA_B                    S0+   -1  0.75  (R)SA_B0^+^
131230.11   +205800.5  2MASX J13123012+2057598       1639794  162580  ---    (R2P)        SAB       (s)           Sa     1  0.50  (R2P)SAB(s)a:
131232.13   +340206.8  2MASX J13123208+3402065       2042848  126873  0.089  (R2P)        SAB       (l)           S0/a   0  0.50  (R2P)SAB(l)0/a
131236.55   +605835.8  MCG +10-19-052                  45888  199972  0.038               SA        (l)           Sbc    4  0.00  SA(l)bc
131245.39   +465606.0  MCG +08-24-088                  45891  208953  0.028               SAB       (_rs)         S0/a   0  0.50  SAB(_rs)0/a
131253.50   +233804.9  2MASXi J1312536+233803            ---  170067  0.023               SB        (_rs)         Sab    2  1.00  SB(_rs)ab [c] pec
131259.24   +222535.4  2MASX J13125923+2225348        140149  168704  0.022  (R1)         SAB       (rl,bl)       S0+   -1  0.50  (R1)SAB(rl,bl)0^+^
131300.81   +411224.9  2MASX J13130084+4112242       2177344  224347  0.067  (R2P)        SAB       (s)           Sa     1  0.50  (R2P)SAB(s)a
131302.50   +255713.8  KUG 1310+262B                   45910  157711  0.024               SA        (r)           S0+   -1  0.00  SA(r)0^+^
131303.75   +105011.1  2MASX J13130376+1050115       3091146  231761  0.054  (R2P)        S_AB      (l)           S0/a   0  0.25  (R2P)S_AB(l)0/a
131305.81   +012755.9  2MASX J13130577+0127561       1195793   14659  0.030  (L)          SAB       (r)           S0+   -1  0.50  (L)SAB(r)0^+^
131308.61   +010912.7  2MASX J13130864+0109121       1186170  245530  0.047  (R1R2P)      SA_B      (l)           S0/a   0  0.75  (R1R2P)SA_B(l)0/a
131314.97   +531219.3  2MASX J13131497+5312190       3087139   65302  0.030  (R1)         SAB_a     (rl,bl)       S0+   -1  0.50  (R1)SAB_a(rl,bl)0^+^
131328.92   +533846.3  2MASX J13132894+5338460       3481246   65347  0.062  (R1R2P)      SAB                     S0/a   0  0.50  (R1R2P)SAB0/a
131338.65   +255703.5  KUG 1311+262                    45965  157712  0.043               SA        (_rs)         Sab    2  0.00  SA(_rs)ab pec
131354.17   +065739.1  CGCG 044-036                    45995  221891  0.021  (RL)         SA_B_a    (s)           S0/a   0  0.75  (RL)SA_B_a(s)0/a
131356.93   +134827.9  2MASX J13135691+1348275       1441102   97754  ---    (RL)         SA        (l)           S0+   -1  0.00  (RL)SA(l)0^+^
131411.99   +444412.0  2MASX J13141195+4444119       2250841  214874  0.098  (R1P)        SA        (l)           S0/a   0  0.00  (R1P)SA(l)0/a
131413.10   +024340.4  SDSS J131413.09+024340.4          ---   15858  0.035  (RL)         SA        (l)           Sb     3  0.00  (RL)SA(l)b
131426.09   +505845.0  CGCG 271-025                    46035  219411  0.030  (R)          SB                      S0+   -1  1.00  (R)SB0^+^
131433.77   +505059.7  2MASX J13143383+5051001       2383417  231825  0.030  (RPL)        SA        (r)           Sab    2  0.00  (RPL)SA(r)ab: pec
131445.66   +620357.5  2MASX J13144560+6203578       2629869  200475  0.046  (R1L)        SAB       (r,bl)        Sab    2  0.50  (R1L)SAB(r,bl)ab
131446.52   +540514.6  2MASX J13144654+5405146       3087098   65389  0.033  (R)          SA_B_a    (l)           S0+   -1  0.75  (R)SA_B_a(l)0^+^
131452.53   +603936.7  2MASX J13145252+6039368       3086758  200860  0.071  (RP)         SA        (l)           Sc     5  0.00  (RP)SA(l)c pec
131501.89   +291049.1  2MASX J13150191+2910494       1858225  135668  0.035  (R1)         SAB       (_rs,bl)      S0/a   0  0.50  (R1)SAB(_rs,bl)0/a
131508.22   +302413.6  CGCG 160-170                    46095  136994  0.023  (R1P)        SAB_a     (s)           Sa     1  0.50  (R1P)SAB_a(s)a
131514.76   +061023.6  2MASX J13151474+0610233       1295861  221321  0.073  (R1P)        SAB       (r)           S0/a   0  0.50  (R1P)SAB(r)0/a
131516.36   +625850.3  2MASX J13151633+6258509       3804877  200783  ---    (R1)         SAB       (l)           S0/a   0  0.50  (R1)SAB(l)0/a:
131534.62   +095116.3  2MASX J13153462+0951166       1370962   91361  0.048  (RP)         SA        (r)           S0/a   0  0.00  (RP)SA(r)0/a:
131534.89   +294033.9  NGC 5052                        46131  136177  0.022  (RL)         SB_a      (irpl)        S0/a   0  1.00  (RL)SB_a(irpl)0/a
131541.12   +181107.1  2MASX J13154109+1811074       3804988  185235  0.104  (RP)         SA_B      (s)           Sbc    4  0.75  (RP)SA_B(s)bc
131555.69   +621900.2  2MASX J13155569+6218599       2634534  201611  0.079  (R)          SAB                     S0/a   0  0.50  (R)SAB0/a:
131614.69   +412940.1  MRK 1477                        46176  224664  0.021  (R2P)        SAB       (s)           Sc     5  0.50  (R2P)SAB(s)c + PR
131615.96   +301552.3  MRK 0785                        46184  139282  0.049               SA        (_rs)         Sb     3  0.00  SA(_rs)b pec
131618.19   +092530.7  2MASX J13161816+0925305       3805182   91006  0.094               SA        (rs)          Sa     1  0.00  SA(rs)a
131627.37   -004044.8  2MASX J13162738-0040449       1137394     290  0.094               SB        (_rs)         Sb     3  1.00  SB(_rs)b
131627.77   +310153.4  NGC 5057                        46202  131603  0.020  (RL)         SA        (l)           S0+   -1  0.00  (RL)SA(l)0^+^
131641.10   +193017.3  2MASX J13164109+1930175       1594834  175959  0.073               SA        (rl)          S0/a   0  0.00  SA(rl)0/a
131641.92   +215847.2  UGC 08343                       46229  167932  0.023  (R1R2P)      SA        (l)           Sab    2  0.00  (R1R2P)SA(l)ab
131702.83   +242939.2  2MASX J13170280+2429389       1708622  170674  0.070  (PR)         SA        (rs)          Sab    2  0.00  (PR)SA(rs)ab: pec
131709.37   +613142.9  2MASX J13170928+6131430       2619645  201212  0.078               SA        (r)           S0+   -1  0.00  SA(r)0^+^
131729.96   +204103.1  IC 0869 NED01                     ---  165909  0.023  (RL)         SAB       (l)           S0o   -2  0.50  (RL)SAB(l)0^o
131730.90   -024543.9  LCRS B131456.1-022957          117627    4449  0.083  (R1P)        SAB       (l)           Sab    2  0.50  (R1P)SAB(l)ab
131745.67   +271302.4  SDSS J131745.67+271302.4          ---  155324  0.038  (R1P)        SB_a      (s)           Sa     1  1.00  (R1P)SB_a(s)a
131748.61   +554139.6  2MASX J13174865+5541399       3087038   84325  0.039               SA        (_rs,rl)      Sa     1  0.00  SA(_rs,rl)a pec
131758.92   +194814.0  2MASX J13175891+1948133       1606075  172267  0.072  (RPL)        SA_B      (_rs)         Sa     1  0.75  (RPL)SA_B(_rs)a
131805.42   +334937.8  KUG 1315+340B                   46331  126890  0.034  (RP)         SA        (_rs,r)       Sab    2  0.00  (RP)SA(_rs,r)ab
131812.08   +342821.4  2MASX J13181210+3428208       2049752  122829  0.055  (L,RP)       SB        (_rs,bl)      Sa     1  1.00  (L,RP)SB(_rs,bl)a
131820.20   +283707.9  2MASX J13182017+2837082       1841051  135229  0.035               SA_B_a    (r,bl)        S0/a   0  0.75  SA_B_a(r,bl)0/a
131825.31   +032137.8  2MASX J13182533+0321380       1250678   20166  0.074               SA        (r)           S0+   -1  0.00  SA(r)0^+^
131858.13   +304443.9  2MASX J13185816+3044442       1916210  130030  0.092  (R2P)        SA        (l)           S0/a   0  0.00  (R2P)SA(l)0/a
131900.53   +162044.4  2MASX J13190051+1620438       1506545  184701  0.083               SAB       (r)           S0+   -1  0.50  SAB(r)0^+^
131905.95   +310852.8  CGCG 160-193                    46428  130284  0.032  (R)          S_AB      (r)           S0+   -1  0.25  (R)S_AB(r)0^+^
131910.63   +205400.0  2MASX J13191062+2053594       1638342  162587  ---    (RP)         SAB       (r)           Sa     1  0.50  (RP)SAB(r)a:
131913.76   -005916.1  2MASX J13191377-0059159       1129683  242086  0.082               SA        (rs)          S0/a   0  0.00  SA(rs)0/a:
131915.89   +543606.3  SBS 1317+548                  2816048   64887  0.032  (R1)         SAB_a     (r,bl)        Sa     1  0.50  (R1)SAB_a(r,bl)a
131922.52   -010745.9  LCSB S1860P                       ---     111  0.082               SA        (_rs,r)       Sb     3  0.00  SA(_rs,r)b pec
131930.28   +062802.9  SDSS J131930.30+062802.6      4364982  221583  0.094               SA        (rl)          S0/a   0  0.00  SA(rl)0/a pec
131935.27   +313928.1  2MASX J13193531+3139277       3088992  132294  0.045  (RL)         SA        (l)           S0o   -2  0.00  (RL)SA(l)0^o
131937.81   +402310.0  NGC 5093                        46472  220021  0.024  (L)          SB_a      (s)           S0/a   0  1.00  (L)SB_a(s)0/a
131943.48   +173929.2  2MASX J13194345+1739289       1538207  185088  0.078  (R)          SAB_a     (l)           S0/a   0  0.50  (R)SAB_a(l)0/a:
131949.07   +225201.2  2MASX J13194905+2252010       1677461  165590  0.023  (R1P)        SAB       (r,bl)        Sa     1  0.50  (R1P)SAB(r,bl)a
131956.22   -012157.6  2MASX J13195622-0121576       1120374    3717  0.080  (RP)         S_AB      (l)           Sa     1  0.25  (RP)S_AB(l)a:
132005.33   +391252.6  2MASX J13200532+3912527       2145590  227733  0.054  (R)          SA        (l)           S0/a   0  0.00  (R)SA(l)0/a: pec
132007.43   +485352.8  2MASX J13200749+4853529       2328319   55003  0.058  (R1)         SAB       (r)           S0+   -1  0.50  (R1)SAB(r)0^+^
132025.62   +303610.8  KUG 1318+308                    46542  130031  0.032  (L)          SA        (rs)          Sbc    4  0.00  (L)SA(rs)bc
132047.98   +013216.3  2MASX J13204799+0132162       1197928   14675  0.110  (R)          SAB       (l)           S0+   -1  0.50  (R)SAB(l)0^+^
132048.29   +055007.6  2MASX J13204827+0550072       1289974  198993  0.079               SAB_a     (r)           Sab    2  0.50  SAB_a(r)ab:
132048.35   +190010.7  2MASX J13204833+1900112       1577331  175556  0.063  (RPL)        SA        (r)           S0/a   0  0.00  (RPL)SA(r)0/a
132054.65   -005628.3  2MASX J13205466-0056286       1130853  242105  0.048  (R)          SB                      S0+   -1  1.00  (R)SB_a0^+^
132059.12   +452647.5  2MASX J13205910+4526476       3555190  240709  0.091               SAB       (r:)          Sab    2  0.50  SAB(r:)ab:
132100.63   +622633.6  2MASX J13210060+6226332       3385009  200638  0.070  (R2P)        S_AB_a    (_rs)         Sb     3  0.25  (R2P)S_AB_a(_rs)b
132105.28   +360643.7  2MASX J13210525+3606434       2075150  116981  0.137  (R1)         SAB_a     (l)           Sb     3  0.50  (R1)SAB_a(l)b:
132111.10   -003959.1  2MASX J13211106-0039596       1137663     313  0.105               SA        (rl)          S0+   -1  0.00  SA(rl)0^+^
132122.23   +235637.6  2MASX J13212220+2356375       1696604  170336  0.064               SA        (rs)          Sb     3  0.00  SA(rs)b pec
132135.62   +540145.8  2MASX J13213562+5401460       2457708   64550  0.053               SA_B      (_rs,bl)      Sb     3  0.75  SA_B(_rs,bl)b
132135.96   +151917.9  CGCG 101-030                    46649  112712  0.022  (RP,RP)      SA        (r)           Sa     1  0.00  (RP,RP)SA(r)a
132145.98   +331058.2  2MASX J13214597+3310581       2025748  126161  0.037  (RP)         SAB_a     (rs)          Sa     1  0.50  (RP)SAB_a(rs)a
132146.43   +230457.5  2MASX J13214643+2304579       1681132  169794  0.088               SA        (rs)          Sb     3  0.00  SA(rs)b:
132209.22   +464256.8  2MASX J13220925+4642567       2285942  241173  0.058  (RP)         S_AB                    Sa     1  0.25  (RP)S_ABa:
132209.91   +420325.1  2MASX J13220992+4203247       2191615  220881  0.042  (R)          SA        (l)           S0+   -1  0.00  (R)SA(l)0^+^
132231.67   -010728.2  2MASX J13223165-0107282       1126186     123  0.083  (RP)         SA        (rl)          Sa     1  0.00  (RP)SA(rl)a:
132231.75   -022236.9  2MASX J13223174-0222372       1093833    4676  0.108  (R2P)        SA_B      (s)           Sb     3  0.75  (R2P)SA_B(s)b
132237.71   +321439.5  KUG 1320+325                    46723  130869  0.037  (RPL)        SA        (rs)          Sbc    4  0.00  (RPL)SA(rs)bc
132247.43   +415626.9  2MASX J13224746+4156267       2189530  220886  0.042  (R)          S_AB      (l)           S0o   -2  0.25  (R)S_AB(l)0^o
132249.98   +384306.4  2MASX J13224999+3843067         46757  113218  0.087               SAB       (_rs)         Sa     1  0.50  SAB(_rs)a pec
132253.44   +144614.0  2MASX J13225340+1446142       3555407  112468  0.152  (R1P)        SA_B      (r,bl)        Sab    2  0.75  (R1P)SA_B(r,bl)ab:
132254.77   +134937.0  2MASX J13225480+1349372       3807040   97955  0.095  (RL)         SA                      S0+   -1  0.00  (RL)SA0^+^
132314.36   -001315.5  SDSS J132314.35-001315.5          ---     688  0.082  (RP)         SAB_a     (_rs)         Sab    2  0.50  (RP)SAB_a(_rs)ab
132329.04   -004519.0  2MASX J13232909-0045183       1135507     323  0.095  (R2P)        S_AB      (s)           Sa     1  0.25  (R2P)S_AB(s)a:
132332.02   +000418.5  2MASX J13233205+0004186       1156400    1058  0.078  (R)          SB        (l)           S0+   -1  1.00  (R)SB(l)0^+^
132333.16   +401405.4  2MASX J13233311+4014056       2162765  220029  0.064               SA        (_rs)         Sb     3  0.00  SA(_rs)b: pec
132339.68   +324503.8  2MASX J13233970+3245038       2010846  125722  0.061  (R)          S_AB      (l)           S0/a   0  0.25  (R)S_AB(l)0/a:
132348.45   +431804.3  CGCG 218-007                    46813  211656  0.027  (R1)         SB_a      (l)           S0+   -1  1.00  (R1)SB_a(l)0^+^
132350.59   +165656.8  2MASX J13235060+1656572       3807298  181835  0.079  (RP)         SAB_a     (l:)          Sa     1  0.50  (RP)SAB_a(l:)a pec
132353.25   +512606.9  2MASX J13235331+5126077       3087265  219622  0.025  (R1P)        S_AB_a    (r,bl)        Sab    2  0.25  (R1P)S_AB_a(r,bl)ab
132358.68   +514109.5  2MASX J13235865+5141097       2398294  232619  0.086  (R1P)        SB        (p,_rs,bl)    Sa     1  1.00  (R1P)SB(p,_rs,bl)a
132420.21   +325053.2  UGC 08431                       46855  125723  0.039  (RP)         SA        (l)           Sab    2  0.00  (RP)SA(l)ab
132425.43   +305733.4  IC 4239                         46872  130302  0.048  (RP)         SA        (r)           Sa     1  0.00  (RP)SA(r)a
132427.76   +130132.6  2MASX J13242775+1301332       1421189  210971  0.138  (R2P)        SAB       (l)           Sb     3  0.50  (R2P)SAB(l)b
132428.90   +140533.3  NGC 5132                        46868   98173  0.024  (R1P)        SB        (_rs,bl,nr)   Sa     1  1.00  (R1P)SB(_rs,bl,nr)a
132456.92   +161408.4  2MASX J13245692+1614082       1504002  184715  0.069  (RP)         SAB_a     (rs)          Sb     3  0.50  (RP)SAB_a(rs)b
132505.36   -005411.2  CGCG 016-067                    46924  242121  0.018  (R)          SA                      S0+   -1  0.00  (R)SA0^+^
132508.42   +492542.9  SDSS J132508.41+492542.9          ---   82720  0.061  (RP)         SB                      Sdm    8  1.00  (RP)SBdm
132512.94   +305900.9  2MASX J13251293+3059007       1926456  130304  0.065  (R1)         SAB_a     (irpl)        Sa     1  0.50  (R1)SAB_a(irpl)a
132522.98   +242618.5  SDSS J132522.97+242618.5          ---  159351  0.071  (RPL)        S_AB      (l)           Sa     1  0.25  (RPL)S_AB(l)a
132527.88   +074149.3  2MASX J13252788+0741488       1328490  222577  0.033               SA        (rs)          S0/a   0  0.00  SA(rs)0/a
132538.79   +323440.1  2MASX J13253878+3234407         83971  131063  0.051  (R2)         SA_B                    S0/a   0  0.75  (R2)SA_B0/a
132549.07   +190550.6  2MASX J13254907+1905506       3090111  171934  0.024  (R1)         SAB       (l)           S0+   -1  0.50  (R1)SAB(l)0^+^
132551.28   +070624.2  2MASX J13255122+0706235       1313996  223391  0.094  (R1P)        SAB       (rs)          Sab    2  0.50  (R1P)SAB(rs)ab:
132557.20   +313705.8  CGCG 161-048                    46989  132312  0.024  (R2P)        SA_B      (s)           S0/a   0  0.75  (R2P)SA_B(s)0/a
132557.26   +245014.2  2MASX J13255723+2450141       3089517  159556  0.064  (R1P)        SA_B      (rs)          Sb     3  0.75  (R1P)SA_B(rs)b
132604.21   +301324.1  2MASX J13260421+3013234       1895180  131358  0.048  (R1P)        SA_B_a    (r,bl)        Sa     1  0.75  (R1P)SA_B_a(r,bl)a
132610.99   +131544.7  2MASX J13261098+1315445       3090868   97912  0.078  (RL)         S_AB      (r,bl)        S0+   -1  0.25  (RL)S_AB(r,bl)0^+^
132624.22   +465109.6  2MASX J13262420+4651096       2288242  209083  0.090  (R1P)        SAB_a     (l)           Sa     1  0.50  (R1P)SAB_a(l)a
132627.80   +523743.0  2MASX J13262782+5237429       2419669   63791  ---                 SAB       (irpl)        S0+   -1  0.50  SAB(irpl)0^+^
132641.18   +471243.3  2MASX J13264116+4712431       2294311  209194  0.089  (R1P)        SAB_a     (l)           Sab    2  0.50  (R1P)SAB_a(l)ab:
132643.83   +002705.1  2MASX J13264381+0027049       1166262    1476  0.082  (RL)         SA        (l)           S0/a   0  0.00  (RL)SA(l)0/a
132654.23   +172603.2  2MASX J13265427+1726028       3808096  185099  0.096               SB_a      (r)           Sb     3  1.00  SB_a(r)b:
132704.64   +172627.8  2MASX J13270468+1726278       3808145  185100  0.085  (RL)         SAB_a     (l)           S0+   -1  0.50  (RL)SAB_a(l)0^+^
132704.69   +415726.1  CGCG 218-012                    47113  225284  0.042  (RL)         SA        (l)           S0o   -2  0.00  (RL)SA(l)0^o
132710.09   +180033.1  2MASX J13271007+1800330       1547685  174960  0.195  (RP)         S_AB      (s)           Sb     3  0.25  (RP)S_AB(s)b
132710.22   +041956.5  2MASX J13271023+0419564       1266767   30434  0.134  (R2P)        SAB       (s)           Sab    2  0.50  (R2P)SAB(s)ab
132720.92   +465551.9  2MASX J13272089+4655518       2289559  241366  0.075  (R2P)        SAB       (s)           Sb     3  0.50  (R2P)SAB(s)b
132722.07   +012818.6  2MASX J13272204+0128184       1195966   14690  0.076  (RP)         SB        (rs)          Sab    2  1.00  (RP)SB(rs)ab
132726.08   +170422.8  2MASX J13272605+1704232       1523966  184969  0.067  (R1)         SB        (rl)          S0/a   0  1.00  (R1)SB(rl)0/a
132727.36   +582503.5  2MASX J13272733+5825036       2578470   58704  0.120  (RP)         SA        (s)           S0/a   0  0.00  (RP)SA(s)0/a:
132755.04   +051343.7  2MASX J13275499+0513436       1280095  198639  0.039  (R1R2P)      SA_B_a    (l)           Sab    2  0.75  (R1R2P)SA_B_a(l)ab
132833.34   -021256.2  2MASX J13283332-0212562       1098456   38510  0.047               SB        (r,bl)        Sab    2  1.00  SB(r,bl)ab
132841.38   -011903.7  2MASX J13284138-0119031       1121601   39927  0.138  (R1P)        SAB       (l)           Sa     1  0.50  (R1P)SAB(l)a
132850.05   +000338.9  2MASX J13285002+0003388       1156108    1073  0.098               SAB       (r)           Sb     3  0.50  SAB(r)b
132851.33   +212650.9  2MASX J13285131+2126514       1650205  163873  0.134  (R)          SAB                     S0+   -1  0.50  (R)SAB0^+^
132856.15   +221733.9  MRK 0660                        47300  165100  0.044  (RL)         SA        (l)           S0+   -1  0.00  (RL)SA(l)0^+^
132902.51   +024142.2  2MASX J13290251+0241417       1234907   15873  0.101               SA        (rl)          S0/a   0  0.00  SA(rl)0/a pec
132903.23   -000237.0  CGCG 016-074                    47308  243486  0.021  (R1)         SA        (r)           S0/a   0  0.00  (R1)SA(r)0/a
132907.76   +501558.7  2MASX J13290779+5015583       2367887  231836  0.061  (RP)         SB_a      (p,_rs)       Sb     3  1.00  (RP)SB_a(p,_rs)b
132909.99   +142640.7  2MASX J13291001+1426411       1458265   98373  0.050  (L)          SA_B      (_rs)         S0/a   0  0.75  (L)SA_B(_rs)0/a:
132917.51   +021001.3  2MASX J13291748+0210014       1218117   18166  0.083  (RL)         SA        (l)           S0/a   0  0.00  (RL)SA(l)0/a
132918.98   +171611.0  2MASX J13291894+1716111       1528724  182174  0.117  (R2P)        SA_B      (s)           Sb     3  0.75  (R2P)SA_B(s)b
132922.68   +111520.0  2MASX J13292270+1115205       3808775  210544  ---                 SA        (irpl)        S0/a   0  0.00  SA(irpl)0/a:
132925.85   +115435.5  CGCG 072-095                    47357  217324  0.022               SA        (r)           S0+   -1  0.00  SA(r)0^+^ [c] pec
132928.97   +333951.8  2MASX J13292892+3339513       2036629  122668  0.036  (RP)         SA        (l)           Sa     1  0.00  (RP)SA(l)a
132929.31   +113729.2  NGC 5178                        47358  210654  0.021  (RP)         SAB       (_rs)         Sa     1  0.50  (RP)SAB(_rs)a
132935.14   +141313.6  2MASX J13293511+1413133       1452460  112265  0.150  (R2P)        SAB       (s)           Sab    2  0.50  (R2P)SAB(s)ab
132936.22   +550541.4  2MASX J13293615+5505409       3087042   86048  0.085  (R2P)        S_AB      (r)           Sb     3  0.25  (R2P)S_AB(r)b
132936.45   +322402.6  UGC 08484                       47369  131072  0.025  (RPL)        SB        (_rs,bl)      Sa     1  1.00  (RPL)SB(_rs,bl)a
132937.91   +232041.8  2MASX J13293791+2320414       1685788  170084  0.082               SA        (r)           Sa     1  0.00  SA(r)a:
132942.45   +315913.5  CGCG 161-068                    47380  130885  0.044  (RPL)        SB        (r,bl)        S0/a   0  1.00  (RPL)SB(r,bl)0/a
132942.81   +475305.0  2MASX J13294283+4753043       3087449   82451  0.039  (R1P)        SAB       (rl)          Sa     1  0.50  (R1P)SAB(rl)a
132946.31   -015704.6  2MASX J13294630-0157041       1105637   38609  0.086  (R2P)        SAB       (l)           Sa     1  0.50  (R2P)SAB(l)a
132949.40   +522143.2  2MASX J13294944+5221426       2413051  233173  0.117               SAB       (r)           Sa     1  0.50  SAB(r)a:
132956.37   +613121.7  2MASX J13295635+6131222       2619528  201433  0.071  (RL)         SAB       (l)           S0+   -1  0.50  (RL)SAB(l)0^+^:
133009.64   +121908.1  2MASX J13300967+1219077       3556076  218109  0.046               SA        (rs)          Sa     1  0.00  SA(rs)a: pec
133025.10   -003421.5  2MASX J13302512-0034214       1140043  242760  0.111  (R1P)        SAB       (l)           Sa     1  0.50  (R1P)SAB(l)a:
133027.19   +452825.1  2MASX J13302718+4528255       3556099  208744  0.091  (RP)         SA        (s)           S0/a   0  0.00  (RP)SA(s)0/a:
133031.28   +123110.3  MRK 1350                        47464  210890  0.043               SB_a      (_rs,bl)      Sb     3  1.00  SB_a(_rs,bl)b
133032.71   +505803.0  2MASX J13303272+5058027       2385943  232288  0.062               SA        (i_rl)        S0+   -1  0.00  SA(i_rl)0^+^
133035.94   +220327.4  2MASX J13303594+2203272       1662705  168731  0.084               SA        (r)           Sa     1  0.00  SA(r)a:
133036.33   +612603.2  2MASX J13303627+6126027       2617893  201439  0.070  (R2P)        SA_B      (l)           Sb     3  0.75  (R2P)SA_B(l)b
133048.76   +343825.0  MCG +06-30-025                  47497  128956  0.024  (RP)         SA_B      (r)           Sa     1  0.75  (RP)SA_B(r)a
133051.68   -014643.3  NGC 5192                        47503   38614  0.036               SA        (rs)          Sb     3  0.00  SA(rs)b
133102.11   +081431.8  2MASX J13310210+0814323       1342581   90577  0.076  (R1)         SAB       (r,bl)        S0+   -1  0.50  (R1)SAB(r,bl)0^+^:
133105.51   +344107.8  CGCG 190-017                    47516  128957  0.025  (L)          SB        (rs,bl)       S0+   -1  1.00  (L)SB(rs,bl)0^+^
133110.97   +081810.0  SDSS J133110.96+081809.9          ---   90578  ---    (R2P)        SAB       (l)           Sab    2  0.50  (R2P)SAB(l)ab:
133137.71   +460903.0  CGCG 246-011                    47559  208970  0.009  (R_L)        SAB       (rl)          S0+   -1  0.50  (R_L)SAB(rl)0^+^
133139.61   +104950.0  2MASX J13313963+1049496       1385120  210443  0.089  (R2P)        S_AB      (l)           Sa     1  0.25  (R2P)S_AB(l)a
133144.30   +552842.0  2MASX J13314427+5528414       2503529   86304  0.108  (R2P)        SAB       (s)           Sbc    4  0.50  (R2P)SAB(s)bc
133159.05   +002423.8  2MASX J13315901+0024238       1165134  244309  0.099  (R1)         SAB_a     (l)           Sab    2  0.50  (R1)SAB_a(l)ab
133215.73   -015307.1  2MASX J13321571-0153065       1107364   38641  0.086  (RP)         SB        (irpl,bl)     Sa     1  1.00  (RP)SB(irpl,bl)a
133217.61   +400121.5  2MASX J13321757+4001214       2159381  224057  0.080  (RP)         SAB                     Sb     3  0.50  (RP)SABb
133223.12   +330551.1  2MASX J13322310+3305510       2023226  122506  0.035  (RPL)        SA                      S0/a   0  0.00  (RPL)SA(r,nb or nd)0/a
133227.50   +362454.2  2MASX J13322750+3624544       2080212  119849  0.112  (R)          SA                      S0+   -1  0.00  (R)SA0^+^
133230.76   +015051.7  UGC 08521                       47641   15008  0.011  (R1PL)       SB        (p,rs,bl)     Sab    2  1.00  (R1PL)SB(p,rs,bl)ab
133237.86   +321636.2  2MASX J13323785+3216355       1989359  131073  0.061  (R1P)        SAB_a     (l,bl)        S0/a   0  0.50  (R1P)SAB_a(l,bl)0/a
133239.61   +002447.2  2MASX J13323959+0024474       1165293  244312  0.104  (R2P)        SA        (irpl)        Sa     1  0.00  (R2P)SA(irpl)a
133249.25   +071012.3  NGC 5210                        47678  222265  0.023  (R,RPL)      SA        (_rs)         Sa     1  0.00  (R,RPL)SA(_rs)a
